,production_budget,worldwide_gross,title_year,aspect_ratio,duration.1,cast_total_facebook_likes,budget,imdb_score
313,90000000.0,498438212.0,2009.0,1.85,128.0,23996.0,90000000.0,7.6
314,90000000.0,859701857.0,2009.0,1.85,94.0,1258.0,90000000.0,7.0
315,90000000.0,288693989.0,2000.0,2.35,130.0,12890.0,100000000.0,6.6
316,90000000.0,487519809.0,2011.0,2.35,96.0,12071.0,90000000.0,7.0
317,90000000.0,289660619.0,2006.0,2.35,151.0,45648.0,90000000.0,8.5
318,90000000.0,259736090.0,2000.0,2.35,94.0,15419.0,92000000.0,5.5
319,90000000.0,303500000.0,1998.0,1.66,88.0,4478.0,90000000.0,7.5
320,90000000.0,191091250.0,2008.0,2.35,121.0,23484.0,92000000.0,7.0
321,90000000.0,239373970.0,2011.0,2.35,158.0,20388.0,90000000.0,7.8
322,90000000.0,165900000.0,1997.0,2.35,150.0,12289.0,90000000.0,7.4
323,90000000.0,202910991.0,2008.0,1.85,113.0,13446.0,90000000.0,5.5
324,90000000.0,366101666.0,1995.0,2.35,128.0,14274.0,90000000.0,7.6
325,90000000.0,235296080.0,2015.0,1.85,92.0,38450.0,90000000.0,5.0
